Year,Sample_Size,Confidence_limit_Low,Confidence_limit_High,Display_order,GeoLocation,Age Group,Education Attained,Gender,Household Income_x,Overall,Race/Ethnicity_x,Aerobic & Muscle Strength Activity,Aerobic Activity 150+ min/week,Age,Alcohol Use (30 Days),Angina/CHD Awareness,Arthritis Awareness,Asthma Awareness,BMI Classification,Binge Drinking,CHD/MI Awareness,COPD Awareness,Children in Household,Cholesterol Check (5 Years),Cognitive Difficulty,Current Asthma Awareness,Current E-Cigarette Use,Current Smokers,Deafness,Depression Awareness,Diabetes Awareness,Doctor Visit Affordability,Dressing/Bathing Difficulty,Drunk Driving,E-Cigarette Use Frequency,Education Level,Employment Status,Errands Difficulty,Flu Shot (65+),General Health,HIV Testing,Health Insurance (18-64),Health Insurance Coverage,Health Status,Heart Attack Awareness,Heavy Drinking,High Blood Pressure Awareness,High Cholesterol Awareness,Household Income_y,Kidney Disease Awareness,Last Doctor Visit,Marital Status,Military Service,Mobility Difficulty,Muscle Strength Activity,Other Cancer Awareness,Physical Activity (30 Days),Pneumonia Vaccination (65+),Poor Mental Health Days,Poor Physical Health Days,Primary Healthcare Provider,Race/Ethnicity_y,Seat Belt Use,Skin Cancer Awareness,Smokeless Tobacco Use,Smoking Status,Stroke Awareness,Vision Difficulty,latitude,longitude,city
2023,299,11.0,15.2,69.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,687,15.3,19.0,70.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,729,15.6,19.7,71.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,767,14.2,17.9,72.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,850,13.3,16.8,73.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,1881,19.3,22.9,74.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,447,12.5,16.3,63.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,678,16.4,20.4,64.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,742,16.1,19.9,65.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,799,14.2,18.2,66.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
