STATE,UACE,NAME,STATEFP,PART,POP,HOUSING,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI,POPDEN,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Texas,280,Abilene,48,0,"118,138","50,514","160,509,868",61.97,"1,015,710",0.39,"1,906.28",Abilene,Abilene,TX,Texas,48441,Taylor,32.4543,-99.7384,126356,457.4,shape,False,True,America/Chicago,2,79607 79605 79699 79603 79602 79601 79606 79604 79608 79697 79698,1840019476
Texas,1414,Alice,48,0,"19,413","7,966","25,980,592",10.03,0,0.0,"1,935.27",Alice,Alice,TX,Texas,48249,Jim Wells,27.7556,-98.0653,17916,576.8,shape,False,True,America/Chicago,3,78332 78333,1840019714
Texas,1711,Alpine,48,0,"6,283","3,292","11,103,460",4.29,688,0.0,"1,465.57",Alpine,Alpine,TX,Texas,48043,Brewster,30.364,-103.665,5997,480.9,shape,False,True,America/Chicago,3,79830 79832 79831,1840019580
Texas,1900,Alvarado,48,0,"5,034","1,869","7,883,213",3.04,"39,327",0.02,"1,653.89",Alvarado,Alvarado,TX,Texas,48251,Johnson,32.4068,-97.2149,5107,369.6,shape,False,True,America/Chicago,3,76009,1840019465
Texas,1927,Amarillo,48,0,"205,860","87,615","217,541,054",83.99,"1,780,045",0.69,"2,450.92",Amarillo,Amarillo,TX,Texas,48375,Potter,35.1984,-101.8316,205903,750.2,shape,False,True,America/Chicago,2,79121 79109 79101 79102 79103 79104 79106 79107 79118 79111 79110 79114 79116 79117 79120 79166 79168 79172 79174 79178 79189,1840019156
Texas,2467,Andrews,48,0,"15,201","5,797","24,644,900",9.52,"30,529",0.01,"1,597.51",Andrews,Andrews,TX,Texas,48003,Andrews,32.3207,-102.552,13342,741.2,shape,False,True,America/Chicago,3,79714,1840019474
Texas,2500,Angleton,48,0,"19,866","8,221","28,355,057",10.95,"48,854",0.02,"1,814.59",Angleton,Angleton,TX,Texas,48039,Brazoria,29.1721,-95.4293,19452,640.4,shape,False,True,America/Chicago,3,77515 77516,1840019672
Texas,3736,Athens,48,0,"12,050","4,960","24,138,742",9.32,"64,685",0.02,"1,292.92",Athens,Athens,TX,Texas,48213,Henderson,32.2041,-95.8321,12878,278.8,shape,False,True,America/Chicago,3,75751 75752,1840019500
Texas,3844,Atlanta,48,0,"5,531","2,659","17,636,485",6.81,"99,001",0.04,812.25,Atlanta,Atlanta,TX,Texas,48067,Cass,33.1136,-94.1672,5453,168.4,shape,False,True,America/Chicago,3,75551,1840019407
Texas,4021,Aubrey,48,0,"5,116","1,963","7,097,052",2.74,"11,230",0.0,"1,867.03",Aubrey,Aubrey,TX,Texas,48121,Denton,33.2874,-96.9622,5932,760.8,shape,False,True,America/Chicago,3,76227,1840019387
Texas,4384,Austin,48,0,"1,809,888","765,527","1,604,809,936",619.62,"12,678,276",4.9,"2,920.96",Austin,Austin,TX,Texas,48453,Travis,30.3005,-97.7522,1905945,1154.1,shape,False,True,America/Chicago,1,78749 78748 78741 78742 78745 78744 78747 78746 78717 78712 78719 78617 78739 78735 78736 78730 78731 78732 78733 78705 78704 78701 78703 78702 78758 78759 78752 78753 78750 78751 78756 78757 78754 78652 78723 78722 78721 78727 78726 78725 78724 78729 78728 73301 73344 78651 78708 78709 78710 78711 78713 78714 78715 78718 78720 78755 78760 78761 78762 78763 78765 78766 78767 78768 78772 78773 78774 78778 78779 78783 78799,1840019590
Texas,5464,Bastrop,48,0,"19,384","7,798","46,957,839",18.13,"620,588",0.24,"1,069.14",Bastrop,Bastrop,TX,Texas,48021,Bastrop,30.1113,-97.3176,9955,416.7,shape,False,True,America/Chicago,3,78602,1840019603
Texas,5896,Bay City,48,0,"19,311","8,683","26,972,308",10.41,"41,853",0.02,"1,854.32",Bay City,Bay City,TX,Texas,48321,Matagorda,28.9838,-95.9601,17869,744.4,shape,False,True,America/Chicago,3,77414,1840019682
Texas,6058,Beaumont,48,0,"146,649","65,409","248,896,009",96.1,"3,817,936",1.47,"1,526.02",Beaumont,Beaumont,TX,Texas,48245,Jefferson,30.0849,-94.1451,140930,537.6,shape,False,True,America/Chicago,2,77708 77705 77706 77707 77701 77702 77703 77713 77704 77710 77720 77725 77726,1840019612
Texas,6274,Beeville,48,0,"14,230","6,110","16,350,545",6.31,0,0.0,"2,254.09",Beeville,Beeville,TX,Texas,48025,Bee,28.4053,-97.749,13637,825.3,shape,False,True,America/Chicago,3,78102,1840019698
Texas,6770,Belterra,48,0,"8,075","2,807","8,700,398",3.36,0,0.0,"2,403.82",Belterra,Belterra,TX,Texas,48209,Hays,30.1885,-97.9845,6678,1099.6,shape,False,False,America/Chicago,3,78737,1840146927
Texas,7651,Big Spring,48,0,"28,955","11,433","53,464,090",20.64,"606,612",0.23,"1,402.68",Big Spring,Big Spring,TX,Texas,48227,Howard,32.2389,-101.4799,25949,529.7,shape,False,True,America/Chicago,3,79720 79721,1840019471
Texas,8704,Boerne,48,0,"18,320","7,410","24,995,790",9.65,0,0.0,"1,898.26",Boerne,Boerne,TX,Texas,48259,Kendall,29.7847,-98.7292,18475,612.6,shape,False,True,America/Chicago,3,78006,1840019623
Texas,8920,Bonham,48,0,"7,799","3,341","13,023,790",5.03,0,0.0,"1,550.96",Bonham,Bonham,TX,Texas,48147,Fannin,33.588,-96.1901,10485,411.7,shape,False,True,America/Chicago,3,75418,1840019332
Texas,9217,Borger,48,0,"12,848","6,288","24,389,656",9.42,"51,733",0.02,"1,364.36",Borger,Borger,TX,Texas,48233,Hutchinson,35.6598,-101.4012,12505,537.4,shape,False,True,America/Chicago,3,79007,1840019083
Texas,9352,Bowie,48,0,"5,419","2,490","11,176,169",4.32,"46,255",0.02,"1,255.81",Bowie,Bowie,TX,Texas,48337,Montague,33.5566,-97.844,5483,383.6,shape,False,True,America/Chicago,3,76230,1840019314
Texas,9568,Brady,48,0,"4,887","2,528","7,577,027",2.93,"19,525",0.01,"1,670.48",Brady,Brady,TX,Texas,48307,McCulloch,31.1322,-99.37,5129,221.4,shape,False,True,America/Chicago,3,76825,1840019550
Texas,9838,Breckenridge,48,0,"5,455","2,639","12,554,020",4.85,"9,818",0.0,"1,125.41",Breckenridge,Breckenridge,TX,Texas,48429,Stephens,32.7566,-98.9125,5230,481.1,shape,False,True,America/Chicago,3,76424,1840019448
Texas,9973,Brenham,48,0,"17,395","7,340","26,583,191",10.26,"79,918",0.03,"1,694.79",Brenham,Brenham,TX,Texas,48477,Washington,30.1584,-96.3966,17655,522.2,shape,False,True,America/Chicago,3,77833 77834,1840019604
Texas,10837,Brownfield,48,0,"8,264","3,524","11,284,096",4.36,"31,039",0.01,"1,896.80",Brownfield,Brownfield,TX,Texas,48445,Terry,33.1757,-102.273,8912,528.4,shape,False,True,America/Chicago,3,79316,1840019404
Texas,10972,Brownsville,48,0,"216,444","73,165","160,844,426",62.1,"6,262,482",2.42,"3,485.28",Brownsville,Brownsville,TX,Texas,48061,Cameron,25.9975,-97.458,215269,548.4,shape,False,True,America/Chicago,2,78521 78520 78526 78575 78578 78566 78522,1840019743
Texas,10999,Brownwood,48,0,"21,562","9,768","35,064,966",13.54,0,0.0,"1,592.62",Brownwood,Brownwood,TX,Texas,48049,Brown,31.7127,-98.9767,18820,485.4,shape,False,True,America/Chicago,3,76801 76802 76803,1840019519
Texas,11593,Burkburnett,48,0,"10,449","4,632","16,787,734",6.48,0,0.0,"1,612.06",Burkburnett,Burkburnett,TX,Texas,48485,Wichita,34.0746,-98.5672,10979,367.2,shape,False,True,America/Chicago,3,76354,1840019278
Texas,11809,Burnet,48,0,"5,001","2,223","9,249,642",3.57,"53,670",0.02,"1,400.33",Burnet,Burnet,TX,Texas,48053,Burnet,30.7496,-98.2383,6464,240.7,shape,False,True,America/Chicago,3,78611,1840019567
Texas,13078,Cameron,48,0,"5,151","2,221","9,070,934",3.5,0,0.0,"1,470.74",Cameron,Cameron,TX,Texas,48331,Milam,30.8608,-96.9763,5356,394.8,shape,False,True,America/Chicago,3,76520,1840019562
Texas,13456,Canyon,48,0,"16,171","6,999","18,970,245",7.32,"67,565",0.03,"2,207.81",Canyon,Canyon,TX,Texas,48381,Randall,34.9911,-101.919,15089,721.4,shape,False,True,America/Chicago,3,79016 79015,1840019180
Texas,13483,Canyon Lake,48,0,"7,918","4,615","23,917,432",9.23,"39,897",0.02,857.43,Canyon Lake,Canyon Lake,TX,Texas,48091,Comal,29.8761,-98.2611,32035,86.7,shape,False,False,America/Chicago,3,78623 78132 78133 78070,1840018260
Texas,13969,Carrizo Springs,48,0,"5,615","2,470","10,973,849",4.24,"32,947",0.01,"1,325.22",Carrizo Springs,Carrizo Springs,TX,Texas,48127,Dimmit,28.5267,-99.8589,4888,610.7,shape,False,True,America/Chicago,3,78834,1840019702
Texas,14347,Carthage,48,0,"6,328","2,841","19,322,282",7.46,"15,541",0.01,848.21,Carthage,Carthage,TX,Texas,48365,Panola,32.1526,-94.3368,6549,237.2,shape,False,True,America/Chicago,3,75633,1840019497
Texas,14887,Center,48,0,"5,123","2,271","17,564,522",6.78,"18,192",0.01,755.42,Center,Center,TX,Texas,48419,Shelby,31.793,-94.1795,5221,252.4,shape,False,True,America/Chicago,3,75935,1840019528
Texas,16372,Childress,48,0,"4,516","2,298","8,345,931",3.22,"35,605",0.01,"1,401.45",Childress,Childress,TX,Texas,48075,Childress,34.4293,-100.2516,5786,270.5,shape,False,True,America/Chicago,3,79201,1840019250
Texas,17533,Cleburne,48,0,"43,901","16,854","63,482,287",24.51,"339,995",0.13,"1,791.10",Cleburne,Cleburne,TX,Texas,48251,Johnson,32.3568,-97.4151,31849,372.4,shape,False,True,America/Chicago,3,76033 76031,1840019464
Texas,17749,Cleveland,48,0,"7,469","3,054","11,761,157",4.54,0,0.0,"1,644.79",Cleveland,Cleveland,TX,Texas,48291,Liberty,30.3381,-95.0908,7756,159.3,shape,False,True,America/Chicago,3,77327 77328,1840019596
Texas,18694,Coleman,48,0,"3,599","2,129","7,221,414",2.79,0,0.0,"1,290.80",Coleman,Coleman,TX,Texas,48083,Coleman,31.8317,-99.4223,3973,249.7,shape,False,True,America/Chicago,3,76834,1840019516
Texas,18829,Colorado City,48,0,"5,839","1,807","7,212,210",2.78,0,0.0,"2,096.85",Colorado City,Colorado City,TX,Texas,48335,Mitchell,32.3996,-100.8582,3952,286.2,shape,False,True,America/Chicago,3,79512,1840019472
Texas,19477,Commerce,48,0,"8,320","3,217","8,656,431",3.34,"56,945",0.02,"2,489.33",Commerce,Commerce,TX,Texas,48231,Hunt,33.2421,-95.8992,9078,420.6,shape,False,True,America/Chicago,3,75428,1840019394
Texas,20287,Corpus Christi,48,0,"339,066","143,128","334,817,107",129.27,"3,706,849",1.43,"2,622.86",Corpus Christi,Corpus Christi,TX,Texas,48355,Nueces,27.7254,-97.3767,337230,756.1,shape,False,True,America/Chicago,2,78373 78408 78409 78406 78407 78404 78405 78402 78401 78419 78418 78415 78414 78417 78416 78411 78410 78413 78412 78403 78426 78427 78460 78463 78465 78466 78467 78468 78469 78480,1840019718
Texas,20341,Corsicana,48,0,"24,380","9,346","40,202,339",15.52,"346,526",0.13,"1,570.65",Corsicana,Corsicana,TX,Texas,48349,Navarro,32.0824,-96.4665,25107,421.7,shape,False,True,America/Chicago,3,75110 75109 75151,1840019505
Texas,21205,Crockett,48,0,"5,935","2,826","16,989,948",6.56,0,0.0,904.75,Crockett,Crockett,TX,Texas,48225,Houston,31.3177,-95.4564,6365,277.7,shape,False,True,America/Chicago,3,75835,1840019547
Texas,21502,Crystal City,48,0,"6,709","2,670","9,172,766",3.54,"11,147",0.0,"1,894.33",Crystal City,Crystal City,TX,Texas,48507,Zavala,28.6908,-99.8258,6332,666.5,shape,False,True,America/Chicago,3,78839,1840019688
Texas,21610,Cuero,48,0,"7,619","3,020","11,304,553",4.36,"45,653",0.02,"1,745.59",Cuero,Cuero,TX,Texas,48123,DeWitt,29.1023,-97.2871,8138,478.7,shape,False,True,America/Chicago,3,77954,1840019676
Texas,21988,Dalhart,48,0,"8,352","3,489","9,061,417",3.5,"4,719",0.0,"2,387.22",Dalhart,Dalhart,TX,Texas,48111,Dallam,36.058,-102.5123,8013,647.0,shape,False,True,America/Chicago,3,79022,1840019052
Texas,22582,Dayton,48,0,"6,879","2,908","14,002,995",5.41,0,0.0,"1,272.34",Dayton,Dayton,TX,Texas,48291,Liberty,30.0315,-94.9158,8839,111.3,shape,False,True,America/Chicago,3,77535,1840019599
Texas,22771,Decatur,48,0,"6,486","2,608","16,051,644",6.2,0,0.0,"1,046.54",Decatur,Decatur,TX,Texas,48497,Wise,33.2263,-97.5875,6781,297.7,shape,False,True,America/Chicago,3,76234,1840019385
Texas,23203,Del Rio,48,0,"42,680","15,789","48,712,813",18.81,"215,425",0.08,"2,269.23",Del Rio,Del Rio,TX,Texas,48465,Val Verde,29.3708,-100.8801,34722,655.9,shape,False,True,America/Chicago,3,78840 78847,1840019607
Texas,24904,Dumas,48,0,"14,639","5,632","12,787,571",4.94,0,0.0,"2,964.98",Dumas,Dumas,TX,Texas,48341,Moore,35.8613,-101.9642,14404,1006.5,shape,False,True,America/Chicago,3,79029,1840019086
Texas,25498,Eagle Pass,48,0,"54,083","18,705","54,765,192",21.14,"364,285",0.14,"2,557.73",Eagle Pass,Eagle Pass,TX,Texas,48323,Maverick,28.7125,-100.484,28166,1154.4,shape,False,True,America/Chicago,3,78852,1840019690
Texas,26254,Edna,48,0,"5,910","2,619","9,569,304",3.69,0,0.0,"1,599.58",Edna,Edna,TX,Texas,48239,Jackson,28.9757,-96.6483,5985,559.0,shape,False,True,America/Chicago,3,77957,1840020984
Texas,26389,El Campo,48,0,"13,286","5,171","20,274,190",7.83,"19,527",0.01,"1,697.26",El Campo,El Campo,TX,Texas,48481,Wharton,29.2,-96.2723,12242,512.6,shape,False,True,America/Chicago,3,77437,1840020966
Texas,26659,Elgin,48,0,"10,779","3,823","12,346,592",4.77,0,0.0,"2,261.15",Elgin,Elgin,TX,Texas,48021,Bastrop,30.3526,-97.3883,10043,569.2,shape,False,True,America/Chicago,3,78621,1840020903
Texas,27253,El Paso,48,P,"823,732","304,916","633,857,299",244.73,"1,963,004",0.76,"3,365.83",El Paso,El Paso,TX,Texas,48141,El Paso,31.8476,-106.43,865270,1011.4,shape,False,True,America/Denver,2,79901 79902 79903 79904 79905 79906 79907 79930 79932 79935 79934 79936 79915 79912 79911 79835 79922 79920 79927 79924 79925 79910 79913 79914 79917 79923 79926 79931 79937 79940 79941 79942 79943 79944 79945 79946 79947 79948 79949 79950 79951 79952 79953 79954 79955 79958 79960 79961 79968 79976 79978 79980 79995 79996 79997 79998 79999 88540 88541 88542 88543 88544 88545 88546 88547 88548 88549 88550 88553 88554 88555 88556 88557 88558 88559 88560 88561 88562 88563 88565 88566 88567 88568 88569 88570 88571 88572 88573 88574 88575 88576 88577 88578 88579 88580 88581 88582 88583 88584 88585 88586 88588 88590 88595,1840023252
Texas,27290,Elsa,48,0,"12,984","4,221","16,201,322",6.26,0,0.0,"2,075.66",Elsa,Elsa,TX,Texas,48215,Hidalgo,26.2978,-97.9936,5721,1058.2,shape,False,True,America/Chicago,3,78543,1840021021
Texas,27658,Ennis,48,0,"19,763","7,195","32,161,351",12.42,"904,179",0.35,"1,591.54",Ennis,Ennis,TX,Texas,48139,Ellis,32.3254,-96.6347,20709,245.5,shape,False,True,America/Chicago,3,75119 75120,1840020754
Texas,28522,Fabens,48,0,"7,094","2,476","4,379,984",1.69,"58,739",0.02,"4,194.85",Fabens,Fabens,TX,Texas,48141,El Paso,31.5136,-106.1521,5303,473.4,shape,False,False,America/Denver,3,79838,1840018152
Texas,29008,Falfurrias,48,0,"4,497","2,027","5,662,317",2.19,0,0.0,"2,056.96",Falfurrias,Falfurrias,TX,Texas,48047,Brooks,27.2243,-98.1452,4348,586.7,shape,False,True,America/Chicago,3,78355,1840021014
