Column,Missing_Percentage
YearStart,0.0
YearEnd,0.0
LocationAbbr,0.0
LocationDesc,0.0
DataSource,0.0
Topic,0.0
Question,0.0
Response,100.0
DataValueUnit,13.098822885299754
DataValueType,0.0
DataValue,20.90975453964778
DataValueAlt,21.11506524317912
DataValueFootnoteSymbol,78.62031207226937
DatavalueFootnote,78.62031207226937
LowConfidenceLimit,33.00027374760471
HighConfidenceLimit,33.00027374760471
StratificationCategory1,0.0
Stratification1,0.0
StratificationCategory2,100.0
Stratification2,100.0
StratificationCategory3,100.0
Stratification3,100.0
GeoLocation,0.0
ResponseID,100.0
LocationID,0.0
TopicID,0.0
QuestionID,0.0
DataValueTypeID,0.0
StratificationCategoryID1,0.0
StratificationID1,0.0
StratificationCategoryID2,100.0
StratificationID2,100.0
StratificationCategoryID3,100.0
StratificationID3,100.0
