STATE,UACE,NAME,STATEFP,PART,POP,HOUSING,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI,POPDEN
Alabama,1036,"Albertville, AL",1,,"38,476","15,505","90,243,946",34.84,"613,266",0.24,"1,104.26"
Alabama,1252,"Alexander City, AL",1,,"8,920","4,428","25,354,836",9.79,"35,945",0.01,911.18
Alabama,2359,"Andalusia, AL",1,,"6,391","3,351","17,775,439",6.86,"103,830",0.04,931.21
Alabama,2629,"Anniston--Oxford, AL",1,,"78,302","35,959","204,340,445",78.9,"1,108,735",0.43,992.47
Alabama,2791,"Arab, AL",1,,"7,849","3,494","22,520,970",8.7,"279,456",0.11,902.66
Alabama,3655,"Athens, AL",1,,"23,204","10,492","52,039,316",20.09,"299,071",0.12,"1,154.86"
Alabama,3925,"Atmore, AL",1,,"6,390","3,151","13,219,601",5.1,"52,468",0.02,"1,251.93"
Alabama,4033,"Auburn, AL",1,,"100,842","44,840","158,393,499",61.16,"1,472,748",0.57,"1,648.93"
Alabama,5923,"Bay Minette, AL",1,,"7,685","3,118","18,014,152",6.96,"143,683",0.06,"1,104.91"
Alabama,7786,"Birmingham, AL",1,,"774,956","346,732","1,319,007,575",509.27,"9,300,252",3.59,"1,521.69"
Alabama,10081,"Brewton, AL",1,,"6,371","3,060","16,207,531",6.26,"52,981",0.02,"1,018.10"
Alabama,17047,"Clanton, AL",1,,"6,423","2,847","23,460,292",9.06,"141,751",0.05,709.09
Alabama,19099,"Columbus, GA--AL",1,P,"62,719","27,658","117,542,222",45.38,"607,379",0.23,"1,381.98"
Alabama,21637,"Cullman, AL",1,,"21,165","9,371","55,661,380",21.49,"455,574",0.18,984.83
Alabama,22690,"Decatur, AL",1,,"60,458","26,455","112,586,219",43.47,"1,051,392",0.41,"1,390.81"
Alabama,23365,"Demopolis, AL",1,,"6,227","2,986","11,781,694",4.55,"82,368",0.03,"1,368.89"
Alabama,24472,"Dothan, AL",1,,"72,423","33,948","142,674,706",55.09,"387,556",0.15,"1,314.70"
Alabama,27685,"Enterprise, AL",1,,"31,258","13,725","61,504,880",23.75,"151,495",0.06,"1,316.28"
Alabama,28090,"Eufaula, AL--GA",1,P,"8,596","4,080","16,132,419",6.23,"28,095",0.01,"1,380.05"
Alabama,28766,"Fairhope--Daphne, AL",1,,"76,807","33,719","152,977,898",59.07,"674,017",0.26,"1,300.38"
Alabama,29953,"Florence, AL",1,,"78,925","38,442","141,482,263",54.63,"367,280",0.14,"1,444.81"
Alabama,30171,"Foley--Gulf Shores, AL",1,,"40,920","26,434","127,027,183",49.05,"1,097,944",0.42,834.33
Alabama,30844,"Fort Payne, AL",1,,"8,380","3,335","22,392,683",8.65,"30,508",0.01,969.25
Alabama,30885,"Fort Rucker--Daleville, AL",1,,"7,157","3,126","20,113,274",7.77,0,0,921.61
Alabama,32113,"Gadsden, AL",1,,"57,975","27,550","158,530,841",61.21,"5,255,544",2.03,947.16
Alabama,35272,"Greenville, AL",1,,"5,823","2,890","14,521,137",5.61,0,0,"1,038.59"
Alabama,37351,"Hartselle, AL",1,,"15,596","6,619","36,021,661",13.91,"138,029",0.05,"1,121.37"
Alabama,40780,"Huntsville, AL",1,,"329,066","145,066","556,245,247",214.77,"2,626,676",1.01,"1,532.20"
Alabama,40813,"Huntsville Southeast, AL",1,,"20,165","7,538","27,750,195",10.71,"98,506",0.04,"1,882.04"
Alabama,42616,"Jasper, AL",1,,"13,274","5,781","43,254,699",16.7,"84,714",0.03,794.82
Alabama,57925,"Mobile, AL",1,,"321,907","145,122","571,733,437",220.75,"10,111,122",3.9,"1,458.26"
Alabama,58411,"Monroeville, AL",1,,"4,284","2,229","12,581,347",4.86,0,0,881.9
Alabama,58492,"Montevallo, AL",1,,"6,438","2,579","13,129,334",5.07,"64,582",0.02,"1,270.01"
Alabama,58600,"Montgomery, AL",1,,"254,348","115,435","375,806,552",145.1,"2,449,268",0.95,"1,752.92"
Alabama,65485,"Oneonta, AL",1,,"5,624","2,285","11,325,973",4.37,"1,452",0,"1,286.08"
Alabama,65620,"Opp, AL",1,,"5,325","2,495","13,468,175",5.2,"186,253",0.07,"1,024.02"
Alabama,66690,"Ozark, AL",1,,"12,218","5,829","43,287,085",16.71,"178,911",0.07,731.04
Alabama,68374,"Pell City, AL",1,,"11,500","5,208","36,222,147",13.99,"322,539",0.12,822.28
Alabama,68482,"Pensacola, FL--AL",1,P,"11,813","17,134","41,807,250",16.14,"8,351,636",3.22,731.82
