,STATE,UACE,NAME,STATEFP,PART,POP,HOUSING,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI,POPDEN
2264,Texas,280,Abilene,48,0,"118,138","50,514","160,509,868",61.97,"1,015,710",0.39,"1,906.28"
2265,Texas,1414,Alice,48,0,"19,413","7,966","25,980,592",10.03,0,0.0,"1,935.27"
2266,Texas,1711,Alpine,48,0,"6,283","3,292","11,103,460",4.29,688,0.0,"1,465.57"
2267,Texas,1900,Alvarado,48,0,"5,034","1,869","7,883,213",3.04,"39,327",0.02,"1,653.89"
2268,Texas,1927,Amarillo,48,0,"205,860","87,615","217,541,054",83.99,"1,780,045",0.69,"2,450.92"
2269,Texas,2467,Andrews,48,0,"15,201","5,797","24,644,900",9.52,"30,529",0.01,"1,597.51"
2270,Texas,2500,Angleton,48,0,"19,866","8,221","28,355,057",10.95,"48,854",0.02,"1,814.59"
2271,Texas,2818,Aransas Pass--Port Aransas--Ingleside,48,0,"21,868","13,912","63,826,698",24.64,"572,244",0.22,887.37
2272,Texas,3736,Athens,48,0,"12,050","4,960","24,138,742",9.32,"64,685",0.02,"1,292.92"
2273,Texas,3844,Atlanta,48,0,"5,531","2,659","17,636,485",6.81,"99,001",0.04,812.25
2274,Texas,4021,Aubrey,48,0,"5,116","1,963","7,097,052",2.74,"11,230",0.0,"1,867.03"
2275,Texas,4384,Austin,48,0,"1,809,888","765,527","1,604,809,936",619.62,"12,678,276",4.9,"2,920.96"
2276,Texas,5464,Bastrop,48,0,"19,384","7,798","46,957,839",18.13,"620,588",0.24,"1,069.14"
2277,Texas,5896,Bay City,48,0,"19,311","8,683","26,972,308",10.41,"41,853",0.02,"1,854.32"
2278,Texas,6058,Beaumont,48,0,"146,649","65,409","248,896,009",96.1,"3,817,936",1.47,"1,526.02"
2279,Texas,6274,Beeville,48,0,"14,230","6,110","16,350,545",6.31,0,0.0,"2,254.09"
2280,Texas,6770,Belterra,48,0,"8,075","2,807","8,700,398",3.36,0,0.0,"2,403.82"
2281,Texas,7651,Big Spring,48,0,"28,955","11,433","53,464,090",20.64,"606,612",0.23,"1,402.68"
2282,Texas,8704,Boerne,48,0,"18,320","7,410","24,995,790",9.65,0,0.0,"1,898.26"
2283,Texas,8920,Bonham,48,0,"7,799","3,341","13,023,790",5.03,0,0.0,"1,550.96"
2284,Texas,9217,Borger,48,0,"12,848","6,288","24,389,656",9.42,"51,733",0.02,"1,364.36"
2285,Texas,9352,Bowie,48,0,"5,419","2,490","11,176,169",4.32,"46,255",0.02,"1,255.81"
2286,Texas,9568,Brady,48,0,"4,887","2,528","7,577,027",2.93,"19,525",0.01,"1,670.48"
2287,Texas,9838,Breckenridge,48,0,"5,455","2,639","12,554,020",4.85,"9,818",0.0,"1,125.41"
2288,Texas,9973,Brenham,48,0,"17,395","7,340","26,583,191",10.26,"79,918",0.03,"1,694.79"
2289,Texas,10837,Brownfield,48,0,"8,264","3,524","11,284,096",4.36,"31,039",0.01,"1,896.80"
2290,Texas,10972,Brownsville,48,0,"216,444","73,165","160,844,426",62.1,"6,262,482",2.42,"3,485.28"
2291,Texas,10999,Brownwood,48,0,"21,562","9,768","35,064,966",13.54,0,0.0,"1,592.62"
2292,Texas,11593,Burkburnett,48,0,"10,449","4,632","16,787,734",6.48,0,0.0,"1,612.06"
2293,Texas,11809,Burnet,48,0,"5,001","2,223","9,249,642",3.57,"53,670",0.02,"1,400.33"
2294,Texas,13078,Cameron,48,0,"5,151","2,221","9,070,934",3.5,0,0.0,"1,470.74"
2295,Texas,13456,Canyon,48,0,"16,171","6,999","18,970,245",7.32,"67,565",0.03,"2,207.81"
2296,Texas,13483,Canyon Lake,48,0,"7,918","4,615","23,917,432",9.23,"39,897",0.02,857.43
2297,Texas,13969,Carrizo Springs,48,0,"5,615","2,470","10,973,849",4.24,"32,947",0.01,"1,325.22"
2298,Texas,14347,Carthage,48,0,"6,328","2,841","19,322,282",7.46,"15,541",0.01,848.21
2299,Texas,14887,Center,48,0,"5,123","2,271","17,564,522",6.78,"18,192",0.01,755.42
2300,Texas,16372,Childress,48,0,"4,516","2,298","8,345,931",3.22,"35,605",0.01,"1,401.45"
2301,Texas,17533,Cleburne,48,0,"43,901","16,854","63,482,287",24.51,"339,995",0.13,"1,791.10"
2302,Texas,17749,Cleveland,48,0,"7,469","3,054","11,761,157",4.54,0,0.0,"1,644.79"
2303,Texas,18694,Coleman,48,0,"3,599","2,129","7,221,414",2.79,0,0.0,"1,290.80"
2304,Texas,18748,College Station--Bryan,48,0,"206,137","86,504","211,410,239",81.63,"179,498",0.07,"2,525.39"
2305,Texas,18829,Colorado City,48,0,"5,839","1,807","7,212,210",2.78,0,0.0,"2,096.85"
2306,Texas,19477,Commerce,48,0,"8,320","3,217","8,656,431",3.34,"56,945",0.02,"2,489.33"
2307,Texas,20287,Corpus Christi,48,0,"339,066","143,128","334,817,107",129.27,"3,706,849",1.43,"2,622.86"
2308,Texas,20341,Corsicana,48,0,"24,380","9,346","40,202,339",15.52,"346,526",0.13,"1,570.65"
2309,Texas,21205,Crockett,48,0,"5,935","2,826","16,989,948",6.56,0,0.0,904.75
2310,Texas,21502,Crystal City,48,0,"6,709","2,670","9,172,766",3.54,"11,147",0.0,"1,894.33"
2311,Texas,21610,Cuero,48,0,"7,619","3,020","11,304,553",4.36,"45,653",0.02,"1,745.59"
2312,Texas,21988,Dalhart,48,0,"8,352","3,489","9,061,417",3.5,"4,719",0.0,"2,387.22"
2313,Texas,22042,Dallas--Fort Worth--Arlington,48,0,"5,732,354","2,243,270","4,524,441,010","1,746.90","64,147,875",24.77,"3,281.45"
2314,Texas,22582,Dayton,48,0,"6,879","2,908","14,002,995",5.41,0,0.0,"1,272.34"
2315,Texas,22771,Decatur,48,0,"6,486","2,608","16,051,644",6.2,0,0.0,"1,046.54"
2316,Texas,23203,Del Rio,48,0,"42,680","15,789","48,712,813",18.81,"215,425",0.08,"2,269.23"
2317,Texas,23500,Denton--Lewisville,48,0,"429,461","166,497","389,741,508",150.48,"4,912,786",1.9,"2,853.94"
2318,Texas,23513,Denton Southwest,48,0,"14,105","5,719","18,291,464",7.06,"64,122",0.02,"1,997.20"
2319,Texas,24904,Dumas,48,0,"14,639","5,632","12,787,571",4.94,0,0.0,"2,964.98"
2320,Texas,25498,Eagle Pass,48,0,"54,083","18,705","54,765,192",21.14,"364,285",0.14,"2,557.73"
2321,Texas,26254,Edna,48,0,"5,910","2,619","9,569,304",3.69,0,0.0,"1,599.58"
2322,Texas,26389,El Campo,48,0,"13,286","5,171","20,274,190",7.83,"19,527",0.01,"1,697.26"
