Column,Missing_Percentage
YEAR,0.0
BENE_GEO_LVL,0.0
BENE_GEO_DESC,0.0
BENE_GEO_CD,0.356753542760876
BENE_AGE_LVL,0.0
BENES_TOTAL_CNT,0.0
BENES_WTH_PTAPTB_CNT,0.0
BENES_FFS_CNT,0.0
BENES_MA_CNT,0.0
MA_PRTCPTN_RATE,0.0
BENE_AVG_AGE,0.0
BENE_FEML_PCT,0.0
BENE_MALE_PCT,0.0
BENE_RACE_WHT_PCT,0.0
BENE_RACE_BLACK_PCT,0.0
BENE_RACE_HSPNC_PCT,0.0
BENE_RACE_OTHR_PCT,0.0
BENE_DUAL_PCT,0.0
BENE_AVG_RISK_SCRE,0.0
TOT_MDCR_PYMT_AMT,0.0
TOT_MDCR_STDZD_PYMT_AMT,0.0
TOT_MDCR_PYMT_PC,0.0
TOT_MDCR_STDZD_PYMT_PC,0.0
IP_MDCR_PYMT_AMT,0.0
IP_MDCR_PYMT_PCT,0.0
IP_MDCR_PYMT_PC,0.0
IP_MDCR_PYMT_PER_USER,0.0
IP_MDCR_STDZD_PYMT_AMT,0.0
IP_MDCR_STDZD_PYMT_PCT,0.0
IP_MDCR_STDZD_PYMT_PC,0.0
IP_MDCR_STDZD_PYMT_PER_USER,0.0
BENES_IP_CVRD_STAY_CNT,0.0
BENES_IP_PCT,0.0
IP_CVRD_STAYS_PER_1000_BENES,0.0
IP_CVRD_DAYS_PER_1000_BENES,0.0
ACUTE_HOSP_READMSN_CNT,0.0
ACUTE_HOSP_READMSN_PCT,0.0
BENES_ER_VISITS_CNT,0.0
ER_VISITS_PER_1000_BENES,0.0
BENES_ER_VISITS_PCT,0.0
OP_MDCR_PYMT_AMT,0.0
OP_MDCR_PYMT_PCT,0.0
OP_MDCR_PYMT_PC,0.0
OP_MDCR_PYMT_PER_USER,0.0
OP_MDCR_STDZD_PYMT_AMT,0.0
OP_MDCR_STDZD_PYMT_PCT,0.0
OP_MDCR_STDZD_PYMT_PC,0.0
OP_MDCR_STDZD_PYMT_PER_USER,0.0
BENES_OP_CNT,0.0
BENES_OP_PCT,0.0
OP_VISITS_PER_1000_BENES,0.0
ASC_MDCR_PYMT_AMT,0.0
ASC_MDCR_PYMT_PCT,0.0
ASC_MDCR_PYMT_PC,0.0
ASC_MDCR_PYMT_PER_USER,0.0
ASC_MDCR_STDZD_PYMT_AMT,0.0
ASC_MDCR_STDZD_PYMT_PCT,0.0
ASC_MDCR_STDZD_PYMT_PC,0.0
ASC_MDCR_STDZD_PYMT_PER_USER,0.0
BENES_ASC_CNT,0.0
BENES_ASC_PCT,0.0
ASC_EVNTS_PER_1000_BENES,0.0
SNF_MDCR_PYMT_AMT,0.0
SNF_MDCR_PYMT_PCT,0.0
SNF_MDCR_PYMT_PC,0.0
SNF_MDCR_PYMT_PER_USER,0.0
SNF_MDCR_STDZD_PYMT_AMT,0.0
SNF_MDCR_STDZD_PYMT_PCT,0.0
SNF_MDCR_STDZD_PYMT_PC,0.0
SNF_MDCR_STDZD_PYMT_PER_USER,0.0
BENES_SNF_CNT,0.0
BENES_SNF_PCT,0.0
SNF_CVRD_STAYS_PER_1000_BENES,0.0
SNF_CVRD_DAYS_PER_1000_BENES,0.0
IRF_MDCR_PYMT_AMT,0.0
IRF_MDCR_PYMT_PCT,0.0
IRF_MDCR_PYMT_PC,0.0
IRF_MDCR_PYMT_PER_USER,0.0
IRF_MDCR_STDZD_PYMT_AMT,0.0
IRF_MDCR_STDZD_PYMT_PCT,0.0
IRF_MDCR_STDZD_PYMT_PC,0.0
IRF_MDCR_STDZD_PYMT_PER_USER,0.0
BENES_IRF_CNT,0.0
BENES_IRF_PCT,0.0
IRF_CVRD_STAYS_PER_1000_BENES,0.0
IRF_CVRD_DAYS_PER_1000_BENES,0.0
LTCH_MDCR_PYMT_AMT,0.0
LTCH_MDCR_PYMT_PCT,0.0
LTCH_MDCR_PYMT_PC,0.0
LTCH_MDCR_PYMT_PER_USER,0.0
LTCH_MDCR_STDZD_PYMT_AMT,0.0
